            962            962                         קערה 82 סמ כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            964            964                          בול 61 סמ כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            965            965                         קערה 32 סמ כחול000000000000                    0000001.00                                             147258  אדמה סטודיו לקרמיקה 2012 בע"מ0000000.00
            967            967                         מקציף כדור מתכת000000000000                    0000009.49                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1000           1000                          מגנט רטרו גדול000000000000                    0000009.00                                             058632                  דנדוש עיצובים0000000.00
           1028           1028                     צלוחית חטיפים קקטוס000000000000                    0000019.00                                             253214            הפינס צ.ד יזמות בעמ0000000.00
           1032      102774133                              תרמוס פסים000000000000                    0000051.29                                             000006      קולקשן עיצוב תל-אביב בע"מ0000000.00
           1039           1039                           הנחת מבצע לוק000000000000                    0000086.76                                             006388                           דנהל0000000.00
           1040           1040                            אספרסו פפיטה000000000000                    0000002.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1046           1046                            אספרסו פרחים000000000000                    0000002.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1049                                   תרמוס פרחים ירוק לבן000000000000                    0000051.29                                             000006      קולקשן עיצוב תל-אביב בע"מ0000000.00
           1112           1112                              חותכן מיני000000000000                    0000001.00                                             000001                           כללי0000000.00
           1113           1113                               חותכן קטן000000000000                    0000001.00                                             000001                           כללי0000000.00
           1114           1114                            חותכן בינוני000000000000                    0000001.00                                             000001                           כללי0000000.00
           1115           1115                              חותכן גדול000000000000                    0000001.00                                             000001                           כללי0000000.00
           1141           1141                      פח 12 ליטר עם פדאל000000000000                    0000059.25                                             052364               אדגרדו פלסל בע"מ0000000.00
           1142           1142                      פח 20 ליטר עם פדאל000000000000                    0000081.75                                             052364               אדגרדו פלסל בע"מ0000000.00
           1146           1146                        סכומון 4 תאים פח000000000000                    0000025.50                                             052364               אדגרדו פלסל בע"מ0000000.00
           1210           1210                      פח 30 ליטר עם פדאל000000000000                    0000131.00                                             052364               אדגרדו פלסל בע"מ0000000.00
           1222           1222                               דבק למאכל000000000000                    0000001.00                                             001188                          טייסט0000000.00
           1231           1231                        מלח פלפל פינגוין000000000000                    0000008.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1233           1233                          מלח פלפל נשיקה000000000000                    0000008.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1234           1234                                  ניסיון000000000000                    0000001.00                                             000001                           כללי0000000.00
           1262           1262                          מלח פלפל ינשוף000000000000                    0000010.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1280           1280                              זיכוי 1280000000000000                    0000130.51                                             000007                     קיי וויז ן0000000.00
           1337           1337                             זיכוי מזומן000000000000                    0000069.07                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1415           1415                        קנקן תה 5.1 ליטר000000000000                    0000001.00                                             512356              טולמנס ישראל בע"מ0000000.00
           1432           1432                        פרויבל לבן 005 ג000000000000                    0000001.00                                             001188                          טייסט0000000.00
           1515           1515                     מלח פלפל קרמיקה מגא000000000000                    0000004.50                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1580           1580                             בבושקה פסים000000000000                    0000012.00                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1702           1702                              כוס מילאנו000000000000                    0000011.82                                             003016     מ.ג.א סחר ועיצוב פנים בע"מ0000000.00
           1759           1759                             זיכוי מקציף000000000000                    0000072.73                                             000006      קולקשן עיצוב תל-אביב בע"מ0000000.00
           1772           1772                        מחית וניל 100 מל000000000000                    0000047.00                                             058231                        אלמנדוס0000000.00
           1796           1796                     מקלות וניל 3 במבחנה000000000000                    0000015.00                                             058231                        אלמנדוס0000000.00
           1898           1898               מספרים לעשבי תיבול ומגבות000000000000                    0000001.00                                             000001                           כללי0000000.00
           1931           1931                  שייקר טבעות לקוקטיילים000000000000                    0000042.00                                             011619                     מוסט וונטד0000000.00
           2003           2003                   קרש חיתוך במבוק 20X30000000000000                    0000022.00                                             512356              טולמנס ישראל בע"מ0000000.00
           2025         2025PP                  שקית צלופן 18/45 * 500000000000000                    0000142.00                                             003001          הבונבוניירי של סימונה0000000.00
           2211           2211                        ארגז לחם פח גדול000000000000                    0000070.00                                             052364               אדגרדו פלסל בע"מ0000000.00
           2212           2212                         ארגז לחם פח קטן000000000000                    0000050.00                                             052364               אדגרדו פלסל בע"מ0000000.00
           2257           2257                    פרלינה אגוזים 002 גר000000000000                    0000001.00                                             001188                          טייסט0000000.00
